id;nome (it);nome (en);emoji;raro;Altezza (alt);Forza (frz);Velocita (vel);Agilita (agi);Presa (man);Fiato (res);Terra (ter);Acqua (acq);Volo (vol);Stazza (mas);Precisione (pre);Equilibrio (equ);Coraggio (cor);Intelligenza (int);Riflessi (rif);gare;Basket 5 contro 5;Beach volley;Calcetto 5 contro 5;Scherma a coppie;Staffetta 4x100;Doppio di tennis;Tiro alla fune;Regata a remi;Tuffi a squadre;Staffetta in acqua;Slalom aereo;Bob a quattro;Ciclismo a squadre;Ginnastica a squadre;Tiro con l'arco;Sollevamento pesi;Judo a coppie;Taekwondo a coppie;Tennistavolo doppio;Marcia lentissima;Salto con gli sci;Slittino a coppie;Pattinaggio artistico;Sci di fondo;Snowboard a squadre;Discesa libera;Slalom speciale
gorilla;Gorilla;Gorilla;🦍;;7;10;5;6;9;6;8;1;0;9;5;6;9;8;6;24;✓;✓;✓;✓;✓;✓;✓;✓;;;;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓
scimpanze;Scimpanzé;Chimpanzee;🐒;;4;6;6;9;10;6;8;2;0;3;8;9;7;10;9;24;✓;✓;✓;✓;✓;✓;✓;✓;;;;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓
gibbone;Gibbone;Gibbon;🐵;;5;4;8;10;10;7;6;1;0;2;7;10;6;7;10;23;✓;✓;✓;✓;;✓;✓;✓;;;;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓
orango;Orango;Orangutan;🦧;;6;8;3;7;10;5;6;1;0;6;6;7;6;9;6;23;✓;✓;✓;✓;;✓;✓;✓;;;;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓
elefante;Elefante;Elephant;🐘;;9;10;4;2;7;7;8;4;0;10;5;4;8;9;5;25;✓;✓;✓;✓;✓;✓;✓;✓;✓;;;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓
mammut;Mammut;Mammoth;🦣;;9;10;4;2;7;7;7;2;0;10;4;3;7;5;4;24;✓;✓;✓;✓;✓;✓;✓;✓;;;;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓
rinoceronte;Rinoceronte;Rhino;🦏;;5;10;6;2;1;6;8;2;0;10;4;3;9;5;5;18;✓;✓;✓;;✓;;✓;;;;;✓;✓;✓;;✓;;✓;;✓;✓;✓;✓;✓;✓;✓;✓
ippopotamo;Ippopotamo;Hippo;🦛;;4;9;4;2;1;5;6;8;0;10;4;3;7;6;4;19;✓;✓;✓;;;;✓;;✓;✓;;✓;✓;✓;;✓;;✓;;✓;✓;✓;✓;✓;✓;✓;✓
giraffa;Giraffa;Giraffe;🦒;;10;7;6;3;2;6;7;1;0;8;5;5;6;6;6;18;✓;✓;✓;;✓;;✓;;;;;✓;✓;✓;;✓;;✓;;✓;✓;✓;✓;✓;✓;✓;✓
bisonte;Bisonte;Bison;🦬;;5;9;6;3;1;7;8;2;0;10;4;4;8;5;5;18;✓;✓;✓;;✓;;✓;;;;;✓;✓;✓;;✓;;✓;;✓;✓;✓;✓;✓;✓;✓;✓
alce;Alce;Moose;🫎;;7;8;6;3;1;7;7;4;0;9;4;4;7;6;5;19;✓;✓;✓;;✓;;✓;;✓;;;✓;✓;✓;;✓;;✓;;✓;✓;✓;✓;✓;✓;✓;✓
cervo;Cervo;Deer;🦌;;6;5;8;7;1;7;8;3;0;5;6;7;6;7;8;19;✓;✓;✓;;✓;;✓;;✓;;;✓;✓;✓;;✓;;✓;;✓;✓;✓;✓;✓;✓;✓;✓
zebra;Zebra;Zebra;🦓;;5;6;8;5;1;7;8;1;0;6;5;6;6;7;7;18;✓;✓;✓;;✓;;✓;;;;;✓;✓;✓;;✓;;✓;;✓;✓;✓;✓;✓;✓;✓;✓
cavallo;Cavallo;Horse;🐎;;6;8;9;6;1;8;9;2;0;8;7;8;7;9;8;18;✓;✓;✓;;✓;;✓;;;;;✓;✓;✓;;✓;;✓;;✓;✓;✓;✓;✓;✓;✓;✓
unicorno;Unicorno;Unicorn;🦄;;6;8;9;7;2;8;9;2;2;7;9;9;8;10;10;18;✓;✓;✓;;✓;;✓;;;;;✓;✓;✓;;✓;;✓;;✓;✓;✓;✓;✓;✓;✓;✓
cammello;Cammello;Camel;🐫;;6;7;5;3;1;10;8;1;0;8;5;4;7;6;5;18;✓;✓;✓;;✓;;✓;;;;;✓;✓;✓;;✓;;✓;;✓;✓;✓;✓;✓;✓;✓;✓
lama;Lama;Llama;🦙;;5;5;5;4;1;7;7;1;0;5;5;5;6;6;6;18;✓;✓;✓;;✓;;✓;;;;;✓;✓;✓;;✓;;✓;;✓;✓;✓;✓;✓;✓;✓;✓
toro;Toro;Bull;🐂;;4;9;6;3;1;6;8;1;0;9;3;3;9;4;4;18;✓;✓;✓;;✓;;✓;;;;;✓;✓;✓;;✓;;✓;;✓;✓;✓;✓;✓;✓;✓;✓
mucca;Mucca;Cow;🐄;;4;7;4;2;1;5;7;2;0;9;3;3;5;5;4;18;✓;✓;✓;;✓;;✓;;;;;✓;✓;✓;;✓;;✓;;✓;✓;✓;✓;✓;✓;✓;✓
maiale;Maiale;Pig;🐖;;2;6;5;3;2;5;7;3;0;7;3;4;4;6;5;19;✓;✓;✓;;✓;;✓;;✓;;;✓;✓;✓;;✓;;✓;;✓;✓;✓;✓;✓;✓;✓;✓
cinghiale;Cinghiale;Boar;🐗;;2;8;6;4;1;6;8;3;0;7;4;5;8;5;6;19;✓;✓;✓;;✓;;✓;;✓;;;✓;✓;✓;;✓;;✓;;✓;✓;✓;✓;✓;✓;✓;✓
pecora;Pecora;Sheep;🐑;;2;4;4;3;1;5;7;1;0;4;3;4;3;4;4;18;✓;✓;✓;;✓;;✓;;;;;✓;✓;✓;;✓;;✓;;✓;✓;✓;✓;✓;✓;✓;✓
capra;Capra;Goat;🐐;;3;5;5;8;2;6;9;1;0;4;5;9;6;6;7;18;✓;✓;✓;;✓;;✓;;;;;✓;✓;✓;;✓;;✓;;✓;✓;✓;✓;✓;✓;✓;✓
canguro;Canguro;Kangaroo;🦘;;7;8;7;8;6;6;8;2;0;6;6;9;7;6;7;24;✓;✓;✓;✓;✓;✓;✓;✓;;;;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓
leone;Leone;Lion;🦁;;4;9;8;7;3;5;8;2;0;8;7;7;10;8;8;18;✓;✓;✓;;✓;;✓;;;;;✓;✓;✓;;✓;;✓;;✓;✓;✓;✓;✓;✓;✓;✓
tigre;Tigre;Tiger;🐅;;4;10;8;8;4;6;8;5;0;8;8;8;10;8;9;25;✓;✓;✓;✓;✓;✓;✓;✓;✓;;;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓
ghepardo;Ghepardo;Cheetah;🐆;;3;6;10;8;2;4;8;1;0;4;6;7;7;7;8;18;✓;✓;✓;;✓;;✓;;;;;✓;✓;✓;;✓;;✓;;✓;✓;✓;✓;✓;✓;✓;✓
lupo;Lupo;Wolf;🐺;;3;7;8;7;2;9;8;3;0;5;7;7;9;9;9;19;✓;✓;✓;;✓;;✓;;✓;;;✓;✓;✓;;✓;;✓;;✓;✓;✓;✓;✓;✓;✓;✓
volpe;Volpe;Fox;🦊;;2;4;7;8;3;6;8;2;0;2;6;8;6;8;8;18;✓;✓;✓;;✓;;✓;;;;;✓;✓;✓;;✓;;✓;;✓;✓;✓;✓;✓;✓;✓;✓
orso;Orso;Bear;🐻;;6;10;6;4;6;6;8;6;0;10;5;5;9;7;7;25;✓;✓;✓;✓;✓;✓;✓;✓;✓;;;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓
panda;Panda;Panda;🐼;;4;8;3;4;7;3;7;3;0;8;4;4;5;7;5;25;✓;✓;✓;✓;✓;✓;✓;✓;✓;;;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓
cane;Cane;Dog;🐕;;2;5;7;7;2;7;8;4;0;3;6;7;8;8;8;19;✓;✓;✓;;✓;;✓;;✓;;;✓;✓;✓;;✓;;✓;;✓;✓;✓;✓;✓;✓;✓;✓
gatto;Gatto;Cat;🐈;;2;3;7;10;4;5;8;1;0;1;7;10;6;7;8;24;✓;✓;✓;✓;✓;✓;✓;✓;;;;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓
coccodrillo;Coccodrillo;Crocodile;🐊;;2;9;5;4;1;6;4;9;0;8;4;4;7;5;6;4;;;;;;;✓;;✓;✓;;;;;;;;;;✓;;;;;;;
serpente;Serpente;Snake;🐍;;1;6;5;6;0;5;6;5;0;3;5;6;6;5;6;18;✓;✓;✓;;;;✓;;✓;;;✓;✓;✓;;✓;;✓;;✓;✓;✓;✓;✓;✓;✓;✓
lucertola;Lucertola;Lizard;🦎;;1;2;6;8;3;4;8;2;0;1;5;8;4;4;6;18;✓;✓;✓;;✓;;✓;;;;;✓;✓;✓;;✓;;✓;;✓;✓;✓;✓;✓;✓;✓;✓
ragno;Ragno;Spider;🕷️;;1;3;5;9;7;5;8;1;0;1;8;9;5;4;6;24;✓;✓;✓;✓;✓;✓;✓;✓;;;;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓
scorpione;Scorpione;Scorpion;🦂;;1;5;4;5;7;4;7;1;0;1;7;7;5;4;5;24;✓;✓;✓;✓;✓;✓;✓;✓;;;;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓
coniglio;Coniglio;Rabbit;🐇;;2;2;7;8;2;5;8;1;0;1;6;9;4;5;6;18;✓;✓;✓;;✓;;✓;;;;;✓;✓;✓;;✓;;✓;;✓;✓;✓;✓;✓;✓;✓;✓
scoiattolo;Scoiattolo;Squirrel;🐿️;;1;2;7;10;7;5;8;1;0;1;7;10;5;6;8;24;✓;✓;✓;✓;✓;✓;✓;✓;;;;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓
riccio;Riccio;Hedgehog;🦔;;1;2;2;3;2;4;7;1;0;1;4;5;5;4;4;18;✓;✓;✓;;✓;;✓;;;;;✓;✓;✓;;✓;;✓;;✓;✓;✓;✓;✓;✓;✓;✓
topo;Topo;Mouse;🐁;;1;1;5;8;4;4;8;2;0;1;5;7;3;6;7;24;✓;✓;✓;✓;✓;✓;✓;✓;;;;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓
ratto;Ratto;Rat;🐀;;1;2;6;8;5;5;8;3;0;1;6;8;5;7;8;25;✓;✓;✓;✓;✓;✓;✓;✓;✓;;;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓
castoro;Castoro;Beaver;🦫;;1;5;3;5;6;6;6;8;0;3;8;7;6;8;8;25;✓;✓;✓;✓;;✓;✓;✓;✓;✓;;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓
lontra;Lontra;Otter;🦦;;1;4;5;9;7;7;6;10;0;2;8;9;7;9;9;25;✓;✓;✓;✓;;✓;✓;✓;✓;✓;;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓
tasso;Tasso;Badger;🦡;;1;6;4;5;5;6;8;3;0;3;5;5;9;6;6;25;✓;✓;✓;✓;✓;✓;✓;✓;✓;;;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓
puzzola;Puzzola;Skunk;🦨;;1;2;4;5;3;4;7;2;0;1;5;5;4;3;4;18;✓;✓;✓;;✓;;✓;;;;;✓;✓;✓;;✓;;✓;;✓;✓;✓;✓;✓;✓;✓;✓
bradipo;Bradipo;Sloth;🦥;;3;4;1;2;8;3;3;4;0;2;4;3;2;3;3;2;;;;;;;;✓;✓;;;;;;;;;;;;;;;;;;
koala;Koala;Koala;🐨;;2;4;2;4;7;3;5;1;0;2;4;4;4;5;4;20;✓;✓;;✓;;✓;✓;✓;;;;✓;;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;;✓;✓;✓
pipistrello;Pipistrello;Bat;🦇;;1;1;7;9;3;6;3;1;9;1;7;9;5;6;9;1;;;;;;;;;;;✓;;;;;;;;;;;;;;;;
aquila;Aquila;Eagle;🦅;;3;6;9;9;6;7;5;2;10;3;9;9;9;8;9;21;✓;✓;;✓;;✓;✓;✓;;;✓;✓;;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;;✓;✓;✓
gufo;Gufo;Owl;🦉;;2;4;6;8;6;5;5;1;9;2;9;9;7;9;9;21;✓;✓;;✓;;✓;✓;✓;;;✓;✓;;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;;✓;✓;✓
pappagallo;Pappagallo;Parrot;🦜;;1;2;6;8;7;5;5;1;8;1;7;8;6;9;9;21;✓;✓;;✓;;✓;✓;✓;;;✓;✓;;✓;✓;✓;✓;✓;✓;✓;✓;✓;✓;;✓;✓;✓
fenicottero;Fenicottero;Flamingo;🦩;;6;2;4;5;2;5;6;6;7;2;5;7;5;4;6;19;✓;✓;✓;;;;✓;;✓;;✓;✓;✓;✓;;✓;;✓;;✓;✓;✓;✓;✓;✓;✓;✓
cigno;Cigno;Swan;🦢;;5;5;5;5;2;7;5;9;7;4;6;8;6;5;6;17;✓;✓;;;;;✓;;✓;✓;✓;✓;;✓;;✓;;✓;;✓;✓;✓;✓;;✓;✓;✓
